1	Influential	NNP
2	members	NNS
3	of	IN
4	the	DT
5	House	DT
6	Ways	DT
7	and	DT
8	Means	DT
9	Committee	DT
10	introduced	DT
11	legislation	DT
12	that	DT
13	would	DT
14	restrict	DT
15	how	DT
16	the	DT
17	new	DT
18	savings-and-loan	DT
19	bailout	DT
20	agency	DT
21	can	DT
22	raise	DT
23	capital	DT
24	,	DT
25	creating	DT
26	another	DT
27	potential	DT
28	obstacle	DT
29	to	DT
30	the	DT
31	government	DT
32	's	DT
33	sale	DT
34	of	DT
35	sick	DT
36	thrifts	DT
37	.	DT

1	The	DT
2	bill	DT
3	,	DT
4	whose	DT
5	backers	DT
6	include	DT
7	Chairman	DT
8	Dan	DT
9	Rostenkowski	DT
10	(	DT
11	D.	DT
12	,	DT
13	Ill.	DT
14	)	DT
15	,	DT
16	would	DT
17	prevent	DT
18	the	DT
19	Resolution	DT
20	Trust	DT
21	Corp.	DT
22	from	DT
23	raising	DT
24	temporary	DT
25	working	DT
26	capital	DT
27	by	DT
28	having	DT
29	an	DT
30	RTC-owned	DT
31	bank	DT
32	or	DT
33	thrift	DT
34	issue	DT
35	debt	DT
36	that	DT
37	would	DT
38	n't	DT
39	be	DT
40	counted	DT
41	on	DT
42	the	DT
43	federal	DT
44	budget	DT
45	.	DT

1	The	DT
2	bill	DT
3	intends	DT
4	to	DT
5	restrict	DT
6	the	DT
7	RTC	DT
8	to	DT
9	Treasury	DT
10	borrowings	DT
11	only	DT
12	,	DT
13	unless	DT
14	the	DT
15	agency	DT
16	receives	DT
17	specific	DT
18	congressional	DT
19	authorization	DT
20	.	DT

1	``	DT
2	Such	DT
3	agency	DT
4	`	DT
5	self-help	DT
6	'	DT
7	borrowing	DT
8	is	DT
9	unauthorized	DT
10	and	DT
11	expensive	DT
12	,	DT
13	far	DT
14	more	DT
15	expensive	DT
16	than	DT
17	direct	DT
18	Treasury	DT
19	borrowing	DT
20	,	DT
21	''	DT
22	said	DT
23	Rep.	DT
24	Fortney	DT
25	Stark	DT
26	(	DT
27	D.	DT
28	,	DT
29	Calif.	DT
30	)	DT
31	,	DT
32	the	DT
33	bill	DT
34	's	DT
35	chief	DT
36	sponsor	DT
37	.	DT

1	The	DT
2	complex	DT
3	financing	DT
4	plan	DT
5	in	DT
6	the	DT
7	S&L	DT
8	bailout	DT
9	law	DT
10	includes	DT
11	raising	DT
12	$	DT
13	30	DT
14	billion	DT
15	from	DT
16	debt	DT
17	issued	DT
18	by	DT
19	the	DT
20	newly	DT
21	created	DT
22	RTC	DT
23	.	DT

1	This	DT
2	financing	DT
3	system	DT
4	was	DT
5	created	DT
6	in	DT
7	the	DT
8	new	DT
9	law	DT
10	in	DT
11	order	DT
12	to	DT
13	keep	DT
14	the	DT
15	bailout	DT
16	spending	DT
17	from	DT
18	swelling	DT
19	the	DT
20	budget	DT
21	deficit	DT
22	.	DT

1	Another	DT
2	$	DT
3	20	DT
4	billion	DT
5	would	DT
6	be	DT
7	raised	DT
8	through	DT
9	Treasury	DT
10	bonds	DT
11	,	DT
12	which	DT
13	pay	DT
14	lower	DT
15	interest	DT
16	rates	DT
17	.	DT

1	But	DT
2	the	DT
3	RTC	DT
4	also	DT
5	requires	DT
6	``	DT
7	working	DT
8	''	DT
9	capital	DT
10	to	DT
11	maintain	DT
12	the	DT
13	bad	DT
14	assets	DT
15	of	DT
16	thrifts	DT
17	that	DT
18	are	DT
19	sold	DT
20	,	DT
21	until	DT
22	the	DT
23	assets	DT
24	can	DT
25	be	DT
26	sold	DT
27	separately	DT
28	.	DT

1	That	DT
2	debt	DT
3	would	DT
4	be	DT
5	paid	DT
6	off	DT
7	as	DT
8	the	DT
9	assets	DT
10	are	DT
11	sold	DT
12	,	DT
13	leaving	DT
14	the	DT
15	total	DT
16	spending	DT
17	for	DT
18	the	DT
19	bailout	DT
20	at	DT
21	$	DT
22	50	DT
23	billion	DT
24	,	DT
25	or	DT
26	$	DT
27	166	DT
28	billion	DT
29	including	DT
30	interest	DT
31	over	DT
32	10	DT
33	years	DT
34	.	DT

1	``	DT
2	It	DT
3	's	DT
4	a	DT
5	problem	DT
6	that	DT
7	clearly	DT
8	has	DT
9	to	DT
10	be	DT
11	resolved	DT
12	,	DT
13	''	DT
14	said	DT
15	David	DT
16	Cooke	DT
17	,	DT
18	executive	DT
19	director	DT
20	of	DT
21	the	DT
22	RTC	DT
23	.	DT

1	The	DT
2	agency	DT
3	has	DT
4	already	DT
5	spent	DT
6	roughly	DT
7	$	DT
8	19	DT
9	billion	DT
10	selling	DT
11	34	DT
12	insolvent	DT
13	S&Ls	DT
14	,	DT
15	and	DT
16	it	DT
17	is	DT
18	likely	DT
19	to	DT
20	sell	DT
21	or	DT
22	merge	DT
23	600	DT
24	by	DT
25	the	DT
26	time	DT
27	the	DT
28	bailout	DT
29	concludes	DT
30	.	DT

1	Absent	DT
2	other	DT
3	working	DT
4	capital	DT
5	,	DT
6	he	DT
7	said	DT
8	,	DT
9	the	DT
10	RTC	DT
11	would	DT
12	be	DT
13	forced	DT
14	to	DT
15	delay	DT
16	other	DT
17	thrift	DT
18	resolutions	DT
19	until	DT
20	cash	DT
21	could	DT
22	be	DT
23	raised	DT
24	by	DT
25	selling	DT
26	the	DT
27	bad	DT
28	assets	DT
